"","D1","D2","fear_mean","disgust_mean","approach_mean"
"Sp_211",-0.18416989864626,0.519226816695024,39.9574468085106,46.3191489361702,37.1063829787234
"Sp_212",-0.274322154489353,0.729163234441015,22.1125,27.9,17.25
"Sp_213",0.419013905583747,-0.270200309824713,47.969696969697,56.3939393939394,36.6969696969697
"Sp_214",-0.162090357704017,-0.280477240840997,44.3103448275862,47.6551724137931,37.3448275862069
"Sp_215",0.0628551601936708,-0.751844356877046,37.0263157894737,45.2631578947368,38.1842105263158
"Sp_216",0.693575976814826,-0.357678280582974,66.1,72.85,55.875
"Sp_217",0.689053134086304,0.00587680847797303,69.9117647058823,75.9705882352941,54.5
"Sp_218",0.315816818316309,0.564007837147852,20.7101449275362,41.695652173913,8.26086956521739
"Sp_219",-0.759920985119333,0.112196921027007,10.0416666666667,14.3472222222222,13.7083333333333
"Sp_220",-0.359112183906984,0.170060945770707,46.9722222222222,49.2777777777778,42.8888888888889
"Sp_221",0.776972971706435,-0.267797175239709,70.4698795180723,72.3493975903614,58.4096385542169
"Sp_222",0.733453857657872,-0.165845826050282,68.6190476190476,79.6904761904762,61.7380952380952
"Sp_223",0.789535994610733,-0.271714614088839,71.5555555555556,80.4888888888889,60.8
"Sp_224",-0.361419575716626,-0.282613612234076,39.5116279069767,50.7209302325581,40.3953488372093
"Sp_225",0.788554376187926,-0.0827961718212239,72.1052631578947,76.4078947368421,60.2894736842105
"Sp_226",0.477916038317541,-0.494695692523818,52.4054054054054,53.7027027027027,43.8108108108108
"Sp_227",0.0756849468519926,0.442912351827341,46,51.525,35.375
"Sp_228",0.173268459489154,-0.664299380674117,57.906976744186,70.1395348837209,45.8604651162791
"Sp_229",-0.662062703994979,0.982645214753478,2.53846153846154,3.15384615384615,3.43589743589744
"Sp_230",-0.174298366890321,0.0326222328040444,45.972972972973,54.6891891891892,34.2432432432432
"Sp_231",-0.341377583858752,0.842585587695671,10.3409090909091,10.1363636363636,8.34090909090909
"Sp_232",-0.256436042150402,0.126630211470062,58.1162790697674,60.093023255814,38.6744186046512
"Sp_233",-0.790390769375625,-0.177794140442722,26.9090909090909,32.5454545454545,25.7727272727273
"Sp_234",-0.336837962300952,-0.548363627451598,71,80.3414634146341,56.6341463414634
"Sp_235",-0.22947227514782,-0.43966262535094,55.7746478873239,62.3380281690141,42.830985915493
